,number,company,2022,2021,2020
457,000220,유유제약,True,True,True
458,000225,유유제약1우,True,True,True
459,000227,유유제약2우B,True,True,True
460,001200,유진투자증권,True,True,True
461,000100,유한양행,True,True,True
462,000105,유한양행우,True,True,True
463,003460,유화증권,True,True,True
464,003465,유화증권우,True,True,True
465,008730,율촌화학,True,True,True
466,008250,이건산업,True,True,True
467,025820,이구산업,True,True,True
468,214320,이노션,True,True,True
469,088260,이리츠코크렙,True,True,True
470,139480,이마트,True,True,True
471,005950,이수화학,True,True,True
472,102460,이연제약,True,True,True
473,350520,이지스레지던스리츠,True,False,False
474,334890,이지스밸류리츠,True,True,False
475,023800,인지컨트롤스,True,True,True
476,034590,인천도시가스,True,True,True
477,129260,인터지스,True,True,True
478,023810,인팩,True,True,True
479,000230,일동홀딩스,True,True,True
480,013360,일성건설,True,True,True
481,003120,일성신약,True,True,True
482,003200,일신방직,True,True,True
483,007570,일양약품,True,True,True
484,007575,일양약품우,True,True,True
485,081000,일진다이아,True,True,True
486,020150,일진머티리얼즈,True,True,True
487,103590,일진전기,True,True,True
488,015860,일진홀딩스,True,True,True
489,226320,잇츠한불,True,True,True
490,317400,자이에스앤디,True,True,True
491,348950,제이알글로벌리츠,True,True,False
492,194370,제이에스코퍼레이션,True,True,True
493,030000,제일기획,True,True,True
494,271980,제일약품,True,True,True
495,001560,제일연마,True,True,True
496,002620,제일파마홀딩스,True,True,True
497,006220,제주은행,True,True,True
498,004910,조광페인트,True,True,True
499,004700,조광피혁,True,True,True
500,000480,조선내화,True,True,True
501,120030,조선선재,True,True,True
502,002600,조흥,True,True,True
503,185750,종근당,True,True,True
504,063160,종근당바이오,True,True,True
505,001630,종근당홀딩스,True,True,True
506,013890,지누스,True,True,True
507,013870,지엠비코리아,True,True,True
508,071320,지역난방공사,True,True,True
509,035000,지투알,True,True,True
510,088790,진도,True,True,True
511,003780,진양산업,True,True,True
512,010640,진양폴리,True,True,True
513,100250,진양홀딩스,True,True,True
514,000650,천일고속,True,True,True
515,035720,카카오,True,True,True
516,029460,케이씨,True,True,True
517,281820,케이씨텍,True,True,True
518,381970,케이카,True,True,True
519,145270,케이탑리츠,True,True,True
520,417310,코람코더원리츠,True,True,True
521,357120,코람코에너지리츠,True,False,False
522,003690,코리안리,True,True,True
523,192820,코스맥스,True,True,True
524,044820,코스맥스비티아이,True,True,True
525,002020,코오롱,True,True,True
526,003070,코오롱글로벌,True,True,True
527,003075,코오롱글로벌우,True,True,True
528,002025,코오롱우,True,True,True
529,120110,코오롱인더,True,True,True
530,120115,코오롱인더우,True,True,True
531,138490,코오롱플라스틱,True,True,True
532,021240,코웨이,True,True,True
533,192400,쿠쿠홀딩스,True,True,True
534,284740,쿠쿠홈시스,True,True,True
535,264900,크라운제과,True,True,True
536,26490K,크라운제과우,True,True,True
537,005740,크라운해태홀딩스,True,True,True
538,005745,크라운해태홀딩스우,True,True,True
539,039490,키움증권,True,True,True
